id,description
1,"Logitech K230 Wireless Laptop Keyboard- An awesome keyboard for you"
2,"Mouse- "Rapoo M 11 Wireless Optical Mouse  (USB, Black)"
3,"Dell KB 216 Wired USB Laptop Keyboard  (Black)- Nice crisp key sound"
4,"Iball A6 Wired USB Laptop Keyboard  (Black)- Smooth keys"
5,"Logitech B175 Wireless Mouse  (USB)"
6,"HP X500 Wired Optical Mouse  (USB 2.0, Black)"
7,"HP X3000 Wireless Optical  (USB, Black)"
8,"HP DeskJet Ink Advantage 2135 All-in-One Printer  (White, Ink Cartridge)"
9,"Canon Pixma MG3670 Multi-function Printer  (Black, Ink Cartridge)"
10,"Iball ZPS-281 450 Watts PSU  (Silver)"
11,"HP DeskJet Ink Advantage 4675 All-in-One Multi-function Printer  (Black, Ink Cartridge)"
12,"Circle RawPower 500 v2.31 500 Watts PSU  (Black)"
